BatteryLevel,"pTimeStamp,latitude,longitude,age,device_guid,accuracy,location_type,course,speed,altitude,BatteryLevel","2012-10-03T11:13:09.000-0400",accuracy,age,altitude,course,,,,,,,,,"device_guid",,"ip-10-34-107-159",main,latitude,1,"location_type",longitude,pTimeStamp,",,,,,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",speed,"ip-10-34-107-159",,none,
27,"9/26/2012 11:22:45 PM,43.7030059,-79.3784754,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,24,GPS,0,0,0,27","2012-09-26T23:22:45.000-0400",24,0,0,0,23,26,22,september,45,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030059",1,GPS,"-79.3784754","9/26/2012 11:22:45 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
35,"9/26/2012 11:22:07 PM,-37.707684,176.147565,0,2dfcf448-c7a3-7f9c-c25b-35b3abaa2eb2,30,WIFI,-1,-1,0,35","2012-09-26T23:22:07.000-0400",30,0,0,"-1",23,26,22,september,7,wednesday,2012,local,"2dfcf448-c7a3-7f9c-c25b-35b3abaa2eb2",,"ip-10-34-107-159",main,"-37.707684",1,WIFI,"176.147565","9/26/2012 11:22:07 PM","//_::_,-.,.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
50,"9/26/2012 11:19:47 PM,38.841777,-106.134561,0,5244c11c-ba5a-2cec-4395-884935a1c6b2,10,GPS,-1,-1,2430,50","2012-09-26T23:19:47.000-0400",10,0,2430,"-1",23,26,19,september,47,wednesday,2012,local,"5244c11c-ba5a-2cec-4395-884935a1c6b2",,"ip-10-34-107-159",main,"38.841777",1,GPS,"-106.134561","9/26/2012 11:19:47 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
95,"9/26/2012 11:19:47 PM,40.683942,-73.632758,0,51c08de0-de38-16d1-ed00-1c9ed5881686,10,GPS,-1,0,50,95","2012-09-26T23:19:47.000-0400",10,0,50,"-1",23,26,19,september,47,wednesday,2012,local,"51c08de0-de38-16d1-ed00-1c9ed5881686",,"ip-10-34-107-159",main,"40.683942",1,GPS,"-73.632758","9/26/2012 11:19:47 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:17:45 PM,43.703006,-79.3784751,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,25,GPS,0,0,0,27","2012-09-26T23:17:45.000-0400",25,0,0,0,23,26,17,september,45,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.703006",1,GPS,"-79.3784751","9/26/2012 11:17:45 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
0,"9/26/2012 11:16:52 PM,42.979098,-78.78294,0,802e28a0-3980-7e41-184a-6e1225205f6e,30,GPS,-1,0,280,0","2012-09-26T23:16:52.000-0400",30,0,280,"-1",23,26,16,september,52,wednesday,2012,local,"802e28a0-3980-7e41-184a-6e1225205f6e",,"ip-10-34-107-159",main,"42.979098",1,GPS,"-78.78294","9/26/2012 11:16:52 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
100,"9/26/2012 11:15:00 PM,-40.905131,174.980756,0,d02b97ee-9864-e05c-a7ec-3ce18151593d,30,GPS,-1,-1,8,100","2012-09-26T23:15:00.000-0400",30,0,8,"-1",23,26,15,september,0,wednesday,2012,local,"d02b97ee-9864-e05c-a7ec-3ce18151593d",,"ip-10-34-107-159",main,"-40.905131",1,GPS,"174.980756","9/26/2012 11:15:00 PM","//_::_,-.,.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
28,"9/26/2012 11:12:45 PM,43.7029479,-79.3784595,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,35,GPS,0,0,0,28","2012-09-26T23:12:45.000-0400",35,0,0,0,23,26,12,september,45,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7029479",1,GPS,"-79.3784595","9/26/2012 11:12:45 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
100,"9/26/2012 11:12:27 PM,55.743612,12.58302,0,951c6264-33cc-180c-685e-db6783282827,30,GPS,-1,0,0,100","2012-09-26T23:12:27.000-0400",30,0,0,"-1",23,26,12,september,27,wednesday,2012,local,"951c6264-33cc-180c-685e-db6783282827",,"ip-10-34-107-159",main,"55.743612",1,GPS,"12.58302","9/26/2012 11:12:27 PM","//_::_,.,.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
85,"9/26/2012 11:11:55 PM,40.759576,-73.994957,0,f761440e-918f-eb27-4f67-7bb255eaca2d,30,GPS,-1,0,91,85","2012-09-26T23:11:55.000-0400",30,0,91,"-1",23,26,11,september,55,wednesday,2012,local,"f761440e-918f-eb27-4f67-7bb255eaca2d",,"ip-10-34-107-159",main,"40.759576",1,GPS,"-73.994957","9/26/2012 11:11:55 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
